customerid,transactionid,id_contrato,parcela,produto,fundo,data_referencia,data_cessao,data_vencimento,valor_cessao,valor_nominal,parcela_z,fundo_code,key
013d22c27cca2a3b4f729155bf8e3e6b06b71df00903018872ff5bcf424b4d18,20260514173514,CTR005124,1,SimpleCredit,FIDC3,2026-06-30,2026-05-15,2026-06-05,51.53,61.8,001,FIDC3,CTR005124|001
f979f6dda1e501bdfc46ccabcc9c9d1f36e8da767267d3f8fd8a1e7e43b76dd3,20260524114230,CTR008091,1,SimpleCredit,FIDC3,2026-06-30,2026-05-24,2026-06-15,51.47,66.65,001,FIDC3,CTR008091|001
d350f250de4cb969a871e7b268186bfacfc316bf15224fe62bed5c4d41b9fb70,20260426090349,CTR023479,1,SimpleCredit,FIDC3,2026-06-30,2026-04-28,2026-06-05,36.42,51.29,001,FIDC3,CTR023479|001
0cdc6d2a304b5c2d81c0762470f5292bd6432fd507d97968ed59e664864deab2,20260515121101,CTR028519,1,SimpleCredit,FIDC3,2026-06-30,2026-05-15,2026-06-05,51.47,66.65,001,FIDC3,CTR028519|001
7e2e779bdc09f3c360af475965ef0d09d645fcd94cee6b4bc5a5b3fe41753953,20260425135234,CTR028749,1,SimpleCredit,FIDC3,2026-06-30,2026-04-25,2026-05-20,51.48,63.57,001,FIDC3,CTR028749|001
5bbf91622615d61d299c45f77605879d1f87aab30464bad326ef6aca189286dc,20260609163258,CTR029227,1,SimpleCredit,FIDC3,2026-06-30,2026-06-10,2026-06-24,101.99,112.2,001,FIDC3,CTR029227|001
d6f0ca6fea4e187d6495a1920c6ffec86e45c2baf25663a2a22b766417bde1f5,20260422115416,CTR040104,1,SimpleCredit,FIDC3,2026-06-30,2026-04-22,2026-05-20,51.5,65.41,001,FIDC3,CTR040104|001
48ade8bae09552e2a1d9cb9ef3f5b41b488e31eb7ba2d3df7671c21d870f3675,20260425224410,CTR040428,1,SimpleCredit,FIDC3,2026-06-30,2026-04-28,2026-05-25,51.67,66.16,001,FIDC3,CTR040428|001
d68e47ab12b3bb95aeeb1dd252fd61ddc8ee76379bb11219d7a0003bed593dd7,20260515042159,CTR043607,1,SimpleCredit,FIDC4,2026-06-30,2026-05-15,2026-06-01,384.39,447.98,001,FIDC4,CTR043607|001
