customerid,transactionid,id_contrato,parcela,produto,fundo,data_referencia,data_cessao,data_vencimento,valor_cessao,valor_nominal,parcela_z,key,fundo_code,dc_cessao,t_ref,i_facio,valor_presente_calculado,valor_presente_fundo,_merge,recon_status,abs_diff,rel_diff,valor_exposicao
,,,,,FACIO 3 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,,,,,,,CTR000775|001,FIDC3,,,,,42.82,right_only,Only Fundo,,,42.82
,,,,,FACIO 3 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,,,,,,,CTR000788|001,FIDC3,,,,,186.9,right_only,Only Fundo,,,186.9
,,,,,FACIO 3 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,,,,,,,CTR000791|001,FIDC3,,,,,184.9,right_only,Only Fundo,,,184.9
,,,,,FACIO 4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,,,,,,,CTR000798|001,FIDC4,,,,,342.36,right_only,Only Fundo,,,342.36
,,,,,FACIO 3 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,,,,,,,CTR000803|001,FIDC3,,,,,66.9,right_only,Only Fundo,,,66.9
,,,,,FACIO 4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,,,,,,,CTR000804|001,FIDC4,,,,,15.44,right_only,Only Fundo,,,15.44
,,,,,FACIO 3 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,,,,,,,CTR000805|001,FIDC3,,,,,66.9,right_only,Only Fundo,,,66.9
,,,,,FACIO 3 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,,,,,,,CTR000809|001,FIDC3,,,,,66.9,right_only,Only Fundo,,,66.9
,,,,,FACIO 3 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,,,,,,,CTR000827|001,FIDC3,,,,,136.9,right_only,Only Fundo,,,136.9
,,,,,FACIO 3 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,,,,,,,CTR000828|001,FIDC3,,,,,66.9,right_only,Only Fundo,,,66.9
,,,,,FACIO 4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,,,,,,,CTR000829|001,FIDC4,,,,,326.9,right_only,Only Fundo,,,326.9
,,,,,FACIO 4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,,,,,,,CTR000831|001,FIDC4,,,,,132.9,right_only,Only Fundo,,,132.9
,,,,,FACIO 3 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,,,,,,,CTR000844|001,FIDC3,,,,,66.9,right_only,Only Fundo,,,66.9
,,,,,FACIO 4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,,,,,,,CTR000848|001,FIDC4,,,,,122.87,right_only,Only Fundo,,,122.87
,,,,,FACIO 3 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,,,,,,,CTR000868|001,FIDC3,,,,,46.9,right_only,Only Fundo,,,46.9
,,,,,FACIO 3 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,,,,,,,CTR000878|001,FIDC3,,,,,186.9,right_only,Only Fundo,,,186.9
,,,,,FACIO 4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,,,,,,,CTR000884|001,FIDC4,,,,,286.15,right_only,Only Fundo,,,286.15
,,,,,FACIO 4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,,,,,,,CTR000888|001,FIDC4,,,,,147.9,right_only,Only Fundo,,,147.9
,,,,,FACIO 4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,,,,,,,CTR000892|001,FIDC4,,,,,123.9,right_only,Only Fundo,,,123.9
,,,,,FACIO 4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,,,,,,,CTR000896|001,FIDC4,,,,,266.9,right_only,Only Fundo,,,266.9
,,,,,FACIO 4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,,,,,,,CTR000906|001,FIDC4,,,,,35.8,right_only,Only Fundo,,,35.8
,,,,,FACIO 4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,,,,,,,CTR000909|001,FIDC4,,,,,16.9,right_only,Only Fundo,,,16.9
,,,,,FACIO 4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,,,,,,,CTR000910|001,FIDC4,,,,,266.9,right_only,Only Fundo,,,266.9
,,,,,FACIO 4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,,,,,,,CTR000914|001,FIDC4,,,,,182.49,right_only,Only Fundo,,,182.49
,,,,,FACIO 3 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,,,,,,,CTR000922|001,FIDC3,,,,,66.9,right_only,Only Fundo,,,66.9
,,,,,FACIO 3 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,,,,,,,CTR000933|001,FIDC3,,,,,66.9,right_only,Only Fundo,,,66.9
,,,,,FACIO 3 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,,,,,,,CTR000935|001,FIDC3,,,,,66.9,right_only,Only Fundo,,,66.9
,,,,,FACIO 4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,,,,,,,CTR000950|001,FIDC4,,,,,373.9,right_only,Only Fundo,,,373.9
,,,,,FACIO 3 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,,,,,,,CTR000953|001,FIDC3,,,,,66.9,right_only,Only Fundo,,,66.9
,,,,,FACIO 4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,,,,,,,CTR000957|001,FIDC4,,,,,246.41,right_only,Only Fundo,,,246.41
,,,,,FACIO 4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,,,,,,,CTR000961|001,FIDC4,,,,,354.89,right_only,Only Fundo,,,354.89
,,,,,FACIO 3 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,,,,,,,CTR000975|001,FIDC3,,,,,66.9,right_only,Only Fundo,,,66.9
,,,,,FACIO 3 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,,,,,,,CTR000976|001,FIDC3,,,,,66.9,right_only,Only Fundo,,,66.9
,,,,,FACIO 4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,,,,,,,CTR000978|001,FIDC4,,,,,374.9,right_only,Only Fundo,,,374.9
,,,,,FACIO 4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,,,,,,,CTR000985|001,FIDC4,,,,,132.9,right_only,Only Fundo,,,132.9
,,,,,FACIO 4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,,,,,,,CTR000991|001,FIDC4,,,,,478.9,right_only,Only Fundo,,,478.9
,,,,,FACIO 4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,,,,,,,CTR000996|001,FIDC4,,,,,333.9,right_only,Only Fundo,,,333.9
,,,,,FACIO 4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,,,,,,,CTR001001|001,FIDC4,,,,,374.9,right_only,Only Fundo,,,374.9
,,,,,FACIO 3 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,,,,,,,CTR001004|001,FIDC3,,,,,64.9,right_only,Only Fundo,,,64.9
,,,,,FACIO 3 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,,,,,,,CTR001010|001,FIDC3,,,,,129.14,right_only,Only Fundo,,,129.14
,,,,,FACIO 3 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,,,,,,,CTR001013|001,FIDC3,,,,,186.9,right_only,Only Fundo,,,186.9
,,,,,FACIO 3 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,,,,,,,CTR001033|001,FIDC3,,,,,66.9,right_only,Only Fundo,,,66.9
,,,,,FACIO 4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,,,,,,,CTR001034|001,FIDC4,,,,,66.9,right_only,Only Fundo,,,66.9
,,,,,FACIO 3 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,,,,,,,CTR001037|001,FIDC3,,,,,66.9,right_only,Only Fundo,,,66.9
,,,,,FACIO 4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,,,,,,,CTR001042|001,FIDC4,,,,,476.9,right_only,Only Fundo,,,476.9
,,,,,FACIO 4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,,,,,,,CTR001050|001,FIDC4,,,,,339.9,right_only,Only Fundo,,,339.9
,,,,,FACIO 3 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,,,,,,,CTR001053|001,FIDC3,,,,,55.9,right_only,Only Fundo,,,55.9
,,,,,FACIO 3 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,,,,,,,CTR001064|001,FIDC3,,,,,136.9,right_only,Only Fundo,,,136.9
,,,,,FACIO 3 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,,,,,,,CTR001072|001,FIDC3,,,,,66.9,right_only,Only Fundo,,,66.9
,,,,,FACIO 3 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,,,,,,,CTR001076|001,FIDC3,,,,,55.76,right_only,Only Fundo,,,55.76
