customerid,transactionid,id_contrato_facio,parcela_facio,produto,fundo_facio,data_referencia_facio,data_cessao,data_vencimento,valor_cessao,valor_nominal,parcela_z_facio,key,fundo_code_facio,dc_cessao,t_ref,i_facio,valor_presente_calculado,id_contrato_fundo,parcela_fundo,fundo_fundo,data_referencia_fundo,valor_presente_fundo,parcela_z_fundo,fundo_code_fundo,_merge,recon_status,abs_diff,rel_diff
013d22c27cca2a3b4f729155bf8e3e6b06b71df00903018872ff5bcf424b4d18,20260514173514,CTR005124,001,SimpleCredit,FIDC3,2026-06-30,2026-05-15 09:34:17,2026-06-05,51.53,61.8,001,CTR005124|001|FIDC3,FIDC3,20.0,45.0,0.009128371868796226,77.56198065512191,,,,,,,,left_only,Only Facio,,
f979f6dda1e501bdfc46ccabcc9c9d1f36e8da767267d3f8fd8a1e7e43b76dd3,20260524114230,CTR008091,001,SimpleCredit,FIDC3,2026-06-30,2026-05-24 14:09:31,2026-06-15,51.47,66.65,001,CTR008091|001|FIDC3,FIDC3,21.0,36.0,0.012383473403670076,80.16334995430613,,,,,,,,left_only,Only Facio,,
d350f250de4cb969a871e7b268186bfacfc316bf15224fe62bed5c4d41b9fb70,20260426090349,CTR023479,001,SimpleCredit,FIDC3,2026-06-30,2026-04-28 17:20:32,2026-06-05,36.42,51.29,001,CTR023479|001|FIDC3,FIDC3,37.0,62.0,0.009296397634218856,64.63991527537917,,,,,,,,left_only,Only Facio,,
0cdc6d2a304b5c2d81c0762470f5292bd6432fd507d97968ed59e664864deab2,20260515121101,CTR028519,001,SimpleCredit,FIDC3,2026-06-30,2026-05-15 16:52:57,2026-06-05,51.47,66.65,001,CTR028519|001|FIDC3,FIDC3,20.0,45.0,0.013006656831287655,92.06777244163729,,,,,,,,left_only,Only Facio,,
7e2e779bdc09f3c360af475965ef0d09d645fcd94cee6b4bc5a5b3fe41753953,20260425135234,CTR028749,001,SimpleCredit,FIDC3,2026-06-30,2026-04-25 18:07:40,2026-05-20,51.48,63.57,001,CTR028749|001|FIDC3,FIDC3,24.0,65.0,0.008828252771694967,91.15046806709975,,,,,,,,left_only,Only Facio,,
5bbf91622615d61d299c45f77605879d1f87aab30464bad326ef6aca189286dc,20260609163258,CTR029227,001,SimpleCredit,FIDC3,2026-06-30,2026-06-10 16:56:25,2026-06-24,101.99,112.2,001,CTR029227|001|FIDC3,FIDC3,13.0,19.0,0.007366091296353128,117.25107291335135,,,,,,,,left_only,Only Facio,,
d6f0ca6fea4e187d6495a1920c6ffec86e45c2baf25663a2a22b766417bde1f5,20260422115416,CTR040104,001,SimpleCredit,FIDC3,2026-06-30,2026-04-22 15:32:13,2026-05-20,51.5,65.41,001,CTR040104|001|FIDC3,FIDC3,27.0,68.0,0.008894633287835685,94.04212526035694,,,,,,,,left_only,Only Facio,,
48ade8bae09552e2a1d9cb9ef3f5b41b488e31eb7ba2d3df7671c21d870f3675,20260425224410,CTR040428,001,SimpleCredit,FIDC3,2026-06-30,2026-04-28 17:45:42,2026-05-25,51.67,66.16,001,CTR040428|001|FIDC3,FIDC3,26.0,62.0,0.009552983847705088,93.16305014835461,,,,,,,,left_only,Only Facio,,
d68e47ab12b3bb95aeeb1dd252fd61ddc8ee76379bb11219d7a0003bed593dd7,20260515042159,CTR043607,001,SimpleCredit,FIDC4,2026-06-30,2026-05-15 06:16:22,2026-06-01,384.39,447.98,001,CTR043607|001|FIDC4,FIDC4,16.0,45.0,0.009614104304837001,591.2422858956465,,,,,,,,left_only,Only Facio,,
