id_contrato,parcela,fundo,data_referencia,valor_presente_fundo,parcela_z,key,fundo_code
CTR000004,001,FACIO 4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,2026-06-30,152.9,001,CTR000004|001|FIDC4,FIDC4
CTR000009,001,FACIO 3 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,2026-06-30,66.9,001,CTR000009|001|FIDC3,FIDC3
CTR000023,001,FACIO 4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,2026-06-30,559.9,001,CTR000023|001|FIDC4,FIDC4
CTR000041,001,FACIO 3 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,2026-06-30,55.66,001,CTR000041|001|FIDC3,FIDC3
CTR000044,001,FACIO 4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,2026-06-30,66.9,001,CTR000044|001|FIDC4,FIDC4
CTR000046,001,FACIO 4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,2026-06-30,249.9,001,CTR000046|001|FIDC4,FIDC4
CTR000050,001,FACIO 4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,2026-06-30,200.18,001,CTR000050|001|FIDC4,FIDC4
CTR000056,001,FACIO 3 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,2026-06-30,66.9,001,CTR000056|001|FIDC3,FIDC3
CTR000060,001,FACIO 4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,2026-06-30,194.9,001,CTR000060|001|FIDC4,FIDC4
CTR000065,001,FACIO 4 FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS FINANCEIROS DE RESPONSABILIDADE LIMITADA,2026-06-30,132.9,001,CTR000065|001|FIDC4,FIDC4
